,Currency,Rate
0,AED,4.011296
1,AFN,96.104596
2,ALL,121.495097
3,AMD,520.842569
4,ANG,1.968051
5,AOA,483.467098
6,ARS,122.295558
7,AUD,1.460345
8,AWG,1.966319
9,AZN,1.860011
10,BAM,1.9604
11,BBD,2.204911
12,BDT,94.160331
13,BGN,1.958941
14,BHD,0.411753
15,BIF,2197.84329
16,BMD,1.092096
17,BND,1.486413
18,BOB,7.507643
19,BRL,5.154252
20,BSD,1.091966
21,BTC,2.5125536e-05
22,BTN,82.927512
23,BWP,12.617277
24,BYN,3.559899
25,BYR,21405.082478
26,BZD,2.201243
27,CAD,1.373283
28,CDF,2196.205464
29,CHF,1.018822
30,CLF,0.031787
31,CLP,876.61434
32,CNY,6.947802
33,COP,4101.006304
34,CRC,716.643863
35,CUC,1.092096
36,CUP,28.940545
37,CVE,110.827429
38,CZK,24.522687
39,DJF,194.40322
40,DKK,7.438069
41,DOP,60.119891
42,DZD,156.408872
43,EGP,20.028055
44,ERN,16.381446
45,ETB,56.135556
46,EUR,1.0
47,FJD,2.288105
48,FKP,0.837593
49,GBP,0.835677
50,GEL,3.363791
51,GGP,0.837593
52,GHS,8.192974
53,GIP,0.837593
54,GMD,59.083833
55,GNF,9670.510198
56,GTQ,8.386721
57,GYD,228.469963
58,HKD,8.559434
59,HNL,26.702046
60,HRK,7.554683
61,HTG,117.391441
62,HUF,378.443945
63,IDR,15703.303633
64,ILS,3.532357
65,IMP,0.837593
66,INR,83.033973
67,IQD,1594.460225
68,IRR,46195.662604
69,ISK,140.803898
70,JEP,0.837593
71,JMD,168.254569
72,JOD,0.774278
73,JPY,135.314518
74,KES,125.916317
75,KGS,99.332253
76,KHR,4422.989146
77,KMF,492.971449
78,KPW,982.886823
79,KRW,1333.044794
80,KWD,0.332849
81,KYD,0.910013
82,KZT,496.477457
83,LAK,12941.338543
84,LBP,1653.433902
85,LKR,343.967806
86,LRD,166.552282
87,LSL,16.010324
88,LTL,3.224676
89,LVL,0.660598
90,LYD,5.122061
91,MAD,10.621774
92,MDL,20.076104
93,MGA,4362.92382
94,MKD,61.634247
95,MMK,2021.765292
96,MNT,3143.896379
97,MOP,8.815195
98,MRO,389.8781
99,MUR,48.98011
100,MVR,16.872725
101,MWK,888.42161
102,MXN,21.987115
103,MYR,4.603222
104,MZN,69.708778
105,NAD,16.010689
106,NGN,454.006256
107,NIO,39.074862
108,NOK,9.585791
109,NPR,132.680894
110,NZD,1.584489
111,OMR,0.420538
112,PAB,1.092066
113,PEN,4.062521
114,PGK,3.843932
115,PHP,56.135378
116,PKR,203.184225
117,PLN,4.626119
118,PYG,7522.97637
119,QAR,3.976305
120,RON,4.941296
121,RSD,117.716509
122,RUB,86.455808
123,RWF,1118.30635
124,SAR,4.096258
125,SBD,8.754312
126,SCR,15.742744
127,SDG,488.713578
128,SEK,10.307584
129,SGD,1.486097
130,SHP,1.50425
131,SLL,12979.561514
132,SOS,637.783684
133,SRD,22.583459
134,STD,22604.183194
135,SVC,9.555452
136,SYP,2743.345633
137,SZL,16.010082
138,THB,36.58304
139,TJS,13.595195
140,TMT,3.833257
141,TND,3.260453
142,TOP,2.460056
143,TRY,16.105424
144,TTD,7.412017
145,TWD,31.499544
146,TZS,2535.674453
147,UAH,32.104246
148,UGX,3871.024666
149,USD,1.092096
150,UYU,45.259588
151,UZS,12428.053018
152,VEF,233523140069.68976
153,VND,24966.40768
154,VUV,124.626292
155,WST,2.863526
156,XAF,657.507935
157,XAG,0.044892
158,XAU,0.000566
159,XCD,2.951445
160,XDR,0.795473
161,XOF,656.844787
162,XPF,119.857391
163,YER,273.296719
164,ZAR,16.087492
165,ZMK,9830.169992
166,ZMW,19.165246
167,ZWL,351.654481
